 numpar,lon,lat,depth,age,time,hitLand
  82414,-123.0035,  47.5377,   -42.714,   4.70833,   4.70833,      2
  19805,-122.9875,  47.5539,   -41.807,   4.79167,   4.79167,      5
  81554,-122.9873,  47.5542,   -42.437,   4.95833,   4.95833,      1
  81554,-122.9874,  47.5541,   -43.577,   5.00000,   5.00000,      5
  82414,-123.0036,  47.5378,   -34.760,   5.25000,   5.25000,      4
  79883,-122.9926,  47.5488,   -40.684,   5.33333,   5.33333,      4
  79883,-122.9928,  47.5487,   -39.811,   5.37500,   5.37500,     12
  81554,-122.9873,  47.5542,   -43.033,   5.37500,   5.37500,      3
  81554,-122.9873,  47.5542,   -42.068,   5.41667,   5.41667,      5
  75724,-122.9589,  47.5857,   -21.117,   5.50000,   5.50000,      2
  10430,-123.0303,  47.5121,   -28.986,   5.62500,   5.62500,      2
  27415,-123.0301,  47.5133,   -30.883,   5.62500,   5.62500,      1
  59550,-123.0303,  47.5122,   -26.802,   5.62500,   5.62500,      2
   3615,-123.0300,  47.5136,   -29.358,   5.66667,   5.66667,      1
  18939,-123.0570,  47.5018,   -22.382,   6.00000,   6.00000,      1
  38349,-123.0303,  47.5110,   -31.827,   6.08333,   6.08333,      2
  89133,-123.0302,  47.5109,   -17.995,   6.08333,   6.08333,      7
   7622,-122.9595,  47.5855,   -19.853,   6.12500,   6.12500,      1
   9633,-122.9599,  47.5852,   -17.247,   6.12500,   6.12500,      7
  38349,-123.0303,  47.5120,   -29.355,   6.12500,   6.12500,      1
  89133,-123.0302,  47.5117,   -20.150,   6.12500,   6.12500,      6
   6838,-123.0302,  47.5125,   -29.323,   6.16667,   6.16667,      1
   7622,-122.9589,  47.5856,   -20.126,   6.16667,   6.16667,      3
   9633,-122.9596,  47.5854,   -17.900,   6.16667,   6.16667,     12
  35522,-122.9604,  47.5849,   -18.414,   6.16667,   6.16667,      4
  89133,-123.0302,  47.5124,   -21.203,   6.16667,   6.16667,      5
   9633,-122.9596,  47.5855,   -17.487,   6.20833,   6.20833,     12
  16539,-123.0302,  47.5122,   -30.072,   6.20833,   6.20833,      1
  35522,-122.9604,  47.5849,   -18.651,   6.20833,   6.20833,      6
  89133,-123.0302,  47.5127,   -19.798,   6.20833,   6.20833,      2
   9633,-122.9596,  47.5855,   -16.559,   6.25000,   6.25000,      7
  16539,-123.0302,  47.5131,   -31.005,   6.25000,   6.25000,      4
  48867,-123.0302,  47.5129,   -30.342,   6.25000,   6.25000,      2
  74240,-123.0302,  47.5108,   -30.695,   6.25000,   6.25000,      1
  83232,-123.0302,  47.5130,   -27.246,   6.25000,   6.25000,      2
  74240,-123.0302,  47.5110,   -29.712,   6.29167,   6.29167,      1
   9633,-122.9594,  47.5856,   -14.637,   6.41667,   6.41667,      3
  74240,-123.0302,  47.5111,   -29.246,   6.45833,   6.45833,      1
   5390,-123.0303,  47.5120,   -28.932,   6.50000,   6.50000,      2
  28540,-123.0303,  47.5118,   -30.334,   6.50000,   6.50000,      2
  35522,-122.9599,  47.5853,   -16.673,   6.50000,   6.50000,      8
  54748,-123.0302,  47.5120,   -29.695,   6.50000,   6.50000,      1
  74240,-123.0302,  47.5120,   -27.761,   6.50000,   6.50000,      1
   5390,-123.0301,  47.5134,   -27.364,   6.54167,   6.54167,      1
  35522,-122.9590,  47.5856,   -17.898,   6.54167,   6.54167,      9
  54748,-123.0301,  47.5133,   -28.235,   6.54167,   6.54167,      3
  58766,-123.0329,  47.5014,   -31.974,   6.54167,   6.54167,      2
  61502,-123.0302,  47.5125,   -23.074,   6.54167,   6.54167,      1
  74240,-123.0301,  47.5134,   -27.388,   6.54167,   6.54167,      1
   3793,-122.9603,  47.5850,   -17.617,   6.62500,   6.62500,      6
   7490,-123.0329,  47.5000,   -27.923,   6.62500,   6.62500,      2
  22844,-122.9590,  47.5856,   -26.738,   6.62500,   6.62500,      3
  42506,-123.0303,  47.5121,   -20.516,   6.62500,   6.62500,      1
    288,-123.0302,  47.5108,   -17.593,   6.66667,   6.66667,      1
   3793,-122.9600,  47.5852,   -18.199,   6.66667,   6.66667,     12
   7490,-123.0329,  47.5012,   -26.217,   6.66667,   6.66667,      4
  25167,-123.0088,  47.5724,   -35.006,   6.66667,   6.66667,      4
  36005,-123.0089,  47.5720,   -37.911,   6.66667,   6.66667,      6
  68263,-123.0300,  47.5135,   -25.480,   6.66667,   6.66667,      1
    288,-123.0302,  47.5122,   -18.765,   6.70833,   6.70833,      7
   3793,-122.9600,  47.5853,   -19.368,   6.70833,   6.70833,      5
  36005,-123.0088,  47.5721,   -36.998,   6.70833,   6.70833,      3
  61589,-123.0329,  47.5009,   -36.564,   6.70833,   6.70833,      4
  68668,-123.0303,  47.5117,   -27.566,   6.70833,   6.70833,      2
    288,-123.0302,  47.5126,   -19.256,   6.75000,   6.75000,      4
  43557,-123.0302,  47.5109,   -25.277,   6.75000,   6.75000,      2
  95767,-123.0516,  47.5186,   -21.410,   6.83333,   6.83333,      1
  13741,-122.9875,  47.5541,   -35.184,   6.87500,   6.87500,      1
  81554,-122.9873,  47.5542,   -39.963,   6.87500,   6.87500,      4
  13741,-122.9875,  47.5538,   -35.591,   6.91667,   6.91667,      1
  81554,-122.9874,  47.5541,   -42.267,   6.91667,   6.91667,     12
  37659,-123.0516,  47.5178,   -30.326,   6.95833,   6.95833,      5
  40489,-123.0195,  47.5252,   -30.426,   6.95833,   6.95833,      3
  81554,-122.9875,  47.5540,   -43.035,   6.95833,   6.95833,      6
